date,stock_code,price,amount,volume,per,eps
20240611,010140,9220,8113600000000,4569574,-54.88095238095238,-168.0
20240611,010620,72400,2891811587600,298020,-20.22911427773121,-3579.0
20240611,010950,66400,7475497388800,263490,8.160255622465282,8137.0
20240611,011070,229500,5431601056500,487174,9.610150328713203,23881.0
20240611,011170,119800,5124495196200,252351,-100.9267059814659,-1187.0
20240611,011200,17500,12408191180000,4220525,10.72303921568627,1632.0
20240611,011210,57200,1555558747600,64398,17.00862325304787,3363.0
20240611,011780,151000,4178574529000,127980,10.87896253602305,13880.0
20240611,011790,166300,6297497957400,901260,-22.85596481583288,-7276.0
20240611,012330,219000,20510465586000,233642,6.026417171161254,36340.0
20240611,012450,210000,10632300000000,280885,13.0055118597882,16147.0
20240611,012510,68800,2090335539200,1039418,61.59355416293644,1117.0
20240611,012750,60100,2283750597800,33090,12.05375050140393,4986.0
20240611,014680,182200,2065272529000,64363,19.60404562083064,9294.0
20240611,014820,48000,1391581536000,155165,21.86788154897494,2195.0
20240611,015760,19800,12710888724600,1445810,-2.635782747603834,-7512.0
20240611,016360,35800,3196940000000,754004,5.840130505709625,6130.0
20240611,017670,51100,10975771708300,554710,10.22613568140885,4997.0
20240611,017800,40150,1569559257750,58835,4.998754980079681,8032.0
20240611,018260,155600,12039985680000,93064,17.36219593840661,8962.0
20240611,018290,33750,1208182736250,1332128,43.49226804123711,776.0
20240611,018670,173500,1601447334000,15913,5.063180319257595,34267.0
20240611,018880,4930,2631634000000,2019258,51.35416666666666,96.0
20240611,020150,56200,2591428927000,1366559,-79.60339943342777,-706.0
20240611,021240,54500,4022079235500,126522,8.534293767616662,6386.0
20240611,022100,40500,6157406524500,5234587,67.05298013245033,604.0
20240611,023530,64400,1821795822000,71107,10.44606650446067,6165.0
20240611,024110,13410,10693480903290,596772,4.005376344086022,3348.0
20240611,026960,19410,1935177000000,147271,13.35856847900895,1453.0
20240611,028050,22300,4370800000000,1256825,5.798231929277171,3846.0
20240611,028260,134400,23894183980800,242670,11.36671177266576,11824.0
20240611,028300,58500,7654453794000,1289052,-39.93174061433447,-1465.0
20240611,028670,4110,2197080694320,1792987,8.973799126637555,458.0
20240611,029780,38950,4512703804450,54916,7.404942965779468,5260.0
20240611,030000,18420,2119059364500,117449,11.31449631449632,1628.0
20240611,030200,36800,9274398008000,430147,9.467455621301776,3887.0
20240611,031980,74500,1606398427500,331420,37.62626262626262,1980.0
20240611,032640,9720,4243862428920,372103,6.816269284712482,1426.0
20240611,032830,83800,16760000000000,203349,8.842460694312546,9477.0
20240611,033100,72200,1159705929800,2177742,20.56980056980057,3510.0
20240611,033780,86500,11272895990500,185079,13.07634164777022,6615.0
20240611,034020,19160,12273151557360,7737686,220.2298850574713,87.0
20240611,034220,10080,5040000000000,868159,-1.404486554270587,-7177.0
20240611,034230,14030,1287555870690,155834,20.57184750733138,682.0
20240611,034730,181400,13278176880600,824979,-17.2827743902439,-10496.0
20240611,035250,14750,3155622375000,336342,9.25925925925926,1593.0
20240611,035420,170200,27641942698800,606686,27.54045307443366,6180.0
20240611,035720,43150,19132506332000,707905,-18.95869947275923,-2276.0
20240611,035760,84100,1844241851400,60310,-5.838250607427977,-14405.0
20240611,035900,59200,2103523526400,476202,19.92595085829687,2971.0
20240611,036460,44000,4061772000000,1930077,-5.335920446276983,-8246.0
20240611,036570,187000,4105402114000,50658,19.35216806374832,9663.0
20240611,036830,88800,1861608172800,360545,20.45140488254261,4342.0
20240611,036930,33850,1633235826200,479074,48.01418439716312,705.0
20240611,039030,193100,2378905105000,151523,64.95122771611167,2973.0
20240611,039200,34450,1308892094250,554774,-53.99686520376176,-638.0
20240611,039490,127400,3252102344400,25767,8.481459290326876,15021.0
20240611,041510,83200,1962648230400,201576,22.70742358078603,3664.0
20240611,042660,30350,9297992584650,1050470,38.17610062893082,795.0
20240611,042670,7750,1546926760750,2005575,6.704152249134948,1156.0
