stock_code,name,market_type,region
011560,세보엠이씨,KOSDAQ,Korea
011690,와이투솔루션,KOSPI,Korea
011700,한신기계,KOSPI,Korea
011760,현대코퍼레이션,KOSPI,Korea
011780,금호석유,KOSPI,Korea
011790,SKC,KOSPI,Korea
011810,STX,KOSPI,Korea
011930,신성이엔지,KOSPI,Korea
012030,DB,KOSPI,Korea
012160,영흥,KOSPI,Korea
012170,아센디오,KOSPI,Korea
012200,계양전기,KOSPI,Korea
012210,삼미금속,KONEX,Korea
012280,영화금속,KOSPI,Korea
012320,경동인베스트,KOSPI,Korea
012330,현대모비스,KOSPI,Korea
012340,뉴인텍,KOSDAQ,Korea
012450,한화에어로스페이스,KOSPI,Korea
012510,더존비즈온,KOSPI,Korea
012600,청호ICT,KOSPI,Korea
012610,경인양행,KOSPI,Korea
012620,원일특강,KOSDAQ,Korea
012630,HDC,KOSPI,Korea
012690,모나리자,KOSPI,Korea
012700,리드코프,KOSDAQ,Korea
012750,에스원,KOSPI,Korea
012790,신일제약,KOSDAQ,Korea
012800,대창,KOSPI,Korea
012860,모베이스전자,KOSDAQ,Korea
013000,세우글로벌,KOSPI,Korea
013030,하이록코리아,KOSDAQ,Korea
013120,동원개발,KOSDAQ,Korea
013310,아진산업,KOSDAQ,Korea
013360,일성건설,KOSPI,Korea
013520,화승코퍼레이션,KOSPI,Korea
013570,디와이,KOSPI,Korea
013580,계룡건설,KOSPI,Korea
013700,까뮤이앤씨,KOSPI,Korea
013720,CBI,KOSDAQ,Korea
013810,스페코,KOSDAQ,Korea
013870,지엠비코리아,KOSPI,Korea
013890,지누스,KOSPI,Korea
013990,아가방컴퍼니,KOSDAQ,Korea
014100,메디앙스,KOSDAQ,Korea
014130,한익스프레스,KOSPI,Korea
014160,대영포장,KOSPI,Korea
014190,원익큐브,KOSDAQ,Korea
014200,광림,KOSDAQ,Korea
014280,금강공업,KOSPI,Korea
014440,영보화학,KOSPI,Korea
014470,부방,KOSDAQ,Korea
014530,극동유화,KOSPI,Korea
014570,고려제약,KOSDAQ,Korea
014580,태경비케이,KOSPI,Korea
014620,성광벤드,KOSDAQ,Korea
014680,한솔케미칼,KOSPI,Korea
014710,사조씨푸드,KOSPI,Korea
014790,HL D&I,KOSPI,Korea
014820,동원시스템즈,KOSPI,Korea
014830,유니드,KOSPI,Korea
014910,성문전자,KOSPI,Korea
014940,오리엔탈정공,KOSDAQ,Korea
014970,삼륭물산,KOSDAQ,Korea
014990,인디에프,KOSPI,Korea
015020,이스타코,KOSPI,Korea
015230,대창단조,KOSPI,Korea
015260,에이엔피,KOSPI,Korea
015360,예스코홀딩스,KOSPI,Korea
015590,KIB플러그에너지,KOSPI,Korea
015710,코콤,KOSDAQ,Korea
015750,성우하이텍,KOSDAQ,Korea
015760,한국전력,KOSPI,Korea
015860,일진홀딩스,KOSPI,Korea
015890,태경산업,KOSPI,Korea
016090,대현,KOSPI,Korea
016100,리더스코스메틱,KOSDAQ,Korea
016250,SGC E&C,KOSDAQ,Korea
016360,삼성증권,KOSPI,Korea
016380,KG스틸,KOSPI,Korea
016450,한세예스24홀딩스,KOSPI,Korea
016580,환인제약,KOSPI,Korea
016590,신대양제지,KOSPI,Korea
016600,큐캐피탈,KOSDAQ,Korea
016610,DB금융투자,KOSPI,Korea
016670,디모아,KOSDAQ,Korea
016710,대성홀딩스,KOSPI,Korea
016740,두올,KOSPI,Korea
016790,카나리아바이오,KOSDAQ,Korea
016800,퍼시스,KOSPI,Korea
016880,웅진,KOSPI,Korea
016920,카스,KOSDAQ,Korea
017000,신원종합개발,KOSDAQ,Korea
017040,광명전기,KOSPI,Korea
017180,명문제약,KOSPI,Korea
017250,인터엠,KOSDAQ,Korea
017370,우신시스템,KOSPI,Korea
017390,서울가스,KOSPI,Korea
017480,삼현철강,KOSDAQ,Korea
017510,세명전기,KOSDAQ,Korea
017550,수산중공업,KOSPI,Korea
017650,대림제지,KOSDAQ,Korea
017670,SK텔레콤,KOSPI,Korea
017800,현대엘리베이,KOSPI,Korea
017810,풀무원,KOSPI,Korea
017860,DS단석,KOSPI,Korea
017890,한국알콜,KOSDAQ,Korea
017900,광전자,KOSPI,Korea
017940,E1,KOSPI,Korea
017960,한국카본,KOSPI,Korea
018000,유니슨,KOSDAQ,Korea
018120,진로발효,KOSDAQ,Korea
018250,애경산업,KOSPI,Korea
018260,삼성에스디에스,KOSPI,Korea
018290,브이티,KOSDAQ,Korea
018310,삼목에스폼,KOSDAQ,Korea
018470,조일알미늄,KOSPI,Korea
018500,동원금속,KOSPI,Korea
018620,우진비앤지,KOSDAQ,Korea
018670,SK가스,KOSPI,Korea
018680,서울제약,KOSDAQ,Korea
018700,바른손,KOSDAQ,Korea
018880,한온시스템,KOSPI,Korea
019010,베뉴지,KOSDAQ,Korea
019170,신풍제약,KOSPI,Korea
019180,티에이치엔,KOSPI,Korea
019210,와이지-원,KOSDAQ,Korea
019440,세아특수강,KOSPI,Korea
019490,하이트론,KOSPI,Korea
019540,일지테크,KOSDAQ,Korea
019550,SBI인베스트먼트,KOSDAQ,Korea
019570,플루토스,KOSDAQ,Korea
